name,image_url,price,category_id
Adjustable Skipping Rope,http://dummyimage.com/172x100.png/cc0000/ffffff,12.99,1
Almond Milk Yogurt,http://dummyimage.com/234x100.png/ff4444/ffffff,1.99,3
Electric Griddle with Lid,http://dummyimage.com/103x100.png/dddddd/000000,49.99,3
Underwater Camera,http://dummyimage.com/111x100.png/5fa2dd/ffffff,199.99,4
Stuffed Grape Leaves,http://dummyimage.com/192x100.png/ff4444/ffffff,5.79,4
Cocktail Shaker Set,http://dummyimage.com/153x100.png/ff4444/ffffff,29.99,3
Portable Air Purifier,http://dummyimage.com/110x100.png/5fa2dd/ffffff,69.99,1
Mushrooms,http://dummyimage.com/235x100.png/cc0000/ffffff,2.99,4
Solar Garden Lights,http://dummyimage.com/117x100.png/5fa2dd/ffffff,39.99,3
Barbecue Chicken Pizza,http://dummyimage.com/179x100.png/cc0000/ffffff,8.99,3
Portable Leaf Blower,http://dummyimage.com/116x100.png/dddddd/000000,149.99,1
Frozen Salmon Filets,http://dummyimage.com/126x100.png/5fa2dd/ffffff,12.99,3
Chopping Board,http://dummyimage.com/151x100.png/dddddd/000000,29.99,4
Arcade Game Machine,http://dummyimage.com/153x100.png/dddddd/000000,299.99,4
Kids' Educational Tablet,http://dummyimage.com/155x100.png/ff4444/ffffff,129.99,1
Silicone Baking Molds,http://dummyimage.com/166x100.png/5fa2dd/ffffff,15.99,4
Coconut Curry Lentil Soup,http://dummyimage.com/113x100.png/cc0000/ffffff,3.99,4
Teriyaki Beef Strips,http://dummyimage.com/204x100.png/ff4444/ffffff,7.49,3
Coconut Macaroons,http://dummyimage.com/192x100.png/ff4444/ffffff,4.99,4
Folding Exercise Bike,http://dummyimage.com/226x100.png/ff4444/ffffff,199.99,1
Vanilla Bean Greek Yogurt,http://dummyimage.com/166x100.png/dddddd/000000,1.99,1
Ice Cream,http://dummyimage.com/242x100.png/dddddd/000000,5.99,4
Smart Scale,http://dummyimage.com/141x100.png/ff4444/ffffff,59.99,4
Artisan Bread,http://dummyimage.com/174x100.png/5fa2dd/ffffff,4.59,4
Almond Flour Pancake Mix,http://dummyimage.com/129x100.png/ff4444/ffffff,5.99,3
Dried Fruit Medley,http://dummyimage.com/210x100.png/ff4444/ffffff,5.49,1
Deep Tissue Massage Gun,http://dummyimage.com/129x100.png/dddddd/000000,89.99,3
Adjustable Laptop Desk,http://dummyimage.com/224x100.png/cc0000/ffffff,59.99,4
Quinoa & Black Bean Salad,http://dummyimage.com/164x100.png/cc0000/ffffff,7.49,3
Kids' Learning Tablet,http://dummyimage.com/136x100.png/5fa2dd/ffffff,129.99,3
Fitness Tracker Band,http://dummyimage.com/161x100.png/dddddd/000000,29.99,3
Black Olives,http://dummyimage.com/174x100.png/ff4444/ffffff,1.99,4
Turkey Bacon,http://dummyimage.com/173x100.png/5fa2dd/ffffff,3.99,4
Mango Chunks,http://dummyimage.com/145x100.png/ff4444/ffffff,4.89,1
Slingback Sandals,http://dummyimage.com/214x100.png/dddddd/000000,29.99,1
Laptop Backpack,http://dummyimage.com/108x100.png/5fa2dd/ffffff,69.99,4
Repair Tool Set for Home Improvement,http://dummyimage.com/169x100.png/dddddd/000000,29.99,3
Wireless Wi-Fi Extender,http://dummyimage.com/111x100.png/5fa2dd/ffffff,49.99,4
Roasted Red Pepper Hummus,http://dummyimage.com/244x100.png/dddddd/000000,3.49,3
Two-Tone Windbreaker,http://dummyimage.com/188x100.png/cc0000/ffffff,59.99,4
Mediterranean Couscous,http://dummyimage.com/159x100.png/cc0000/ffffff,3.59,4
Italian Sausage Links,http://dummyimage.com/209x100.png/cc0000/ffffff,5.99,4
Luxe Velvet Blazer,http://dummyimage.com/130x100.png/5fa2dd/ffffff,89.99,3
Oven-Baked Cheese Crisps,http://dummyimage.com/186x100.png/cc0000/ffffff,3.99,3
Cork Yoga Mat,http://dummyimage.com/107x100.png/cc0000/ffffff,39.99,4
Portable Electric Fan,http://dummyimage.com/123x100.png/cc0000/ffffff,24.99,1
Blender Bottle,http://dummyimage.com/144x100.png/ff4444/ffffff,12.99,3
Kale and Quinoa Salad,http://dummyimage.com/203x100.png/dddddd/000000,6.49,4
Pet Bed with Removable Cover,http://dummyimage.com/103x100.png/ff4444/ffffff,49.99,1
Zesty Garlic Hummus,http://dummyimage.com/184x100.png/5fa2dd/ffffff,3.99,4
Wrist Support Brace,http://dummyimage.com/138x100.png/dddddd/000000,19.99,3
Vegetable Lasagna,http://dummyimage.com/128x100.png/cc0000/ffffff,6.99,3
Survival Gear Kit,http://dummyimage.com/184x100.png/dddddd/000000,59.99,3
Honey,http://dummyimage.com/182x100.png/dddddd/000000,5.49,3
Vintage Button-Down Shirt,http://dummyimage.com/201x100.png/5fa2dd/ffffff,45.99,4
Mini Indoor Hydroponic Garden,http://dummyimage.com/127x100.png/cc0000/ffffff,59.99,1
Portable Massage Table,http://dummyimage.com/235x100.png/dddddd/000000,199.99,3
Digital Food Thermometer,http://dummyimage.com/249x100.png/dddddd/000000,19.99,4
